Date	       Author                Title

30/08/2012	John Claridge	Another Time Another Place

25/09/2012	Craig Atkinson	Berlin Autobus

04/10/2012	John Claridge	Along The Thames

15/11/2012	John Claridge	The Salvation Army

12/12/2012	John Claridge	Peopled Streets

24/01/2013	John Claridge	East End Graphics

24/01/2013	David Levenson	British Rituals

25/01/2013	Craig Atkinson	Someone Else's Friends and Family

25/01/2013	Mark McNulty	Ten ’til Late

01/02/2013	Craig Atkinson	America 29.01.13

13/02/2013	David Levenson	The Burry Man

13/02/2013	Craig Atkinson	Preston Bus Station: Lost and Found

18/02/2013	John Claridge	Monoliths, Sculptures, Fun and Death

21/02/2013	Homer Sykes	Blitz Kids, Skins & Silver Spoons

04/03/2013	Joni Sternbach	Promise Land…

06/03/2013	Homer Sykes	Working Men: Club and Coal

14/03/2013	John Claridge	Coal Miners 1971

14/03/2013	David Levenson	British Rituals

27/03/2013	Tony Hall	East End Shops

02/04/2013	Tony Hall	East End Panoramas

02/04/2013	Various Artists, Authors and Publishers	2013 Project

09/04/2013	Homer Sykes	Brick Lane and Co: Whitechapel in the 1970s

13/04/2013	David Levenson	Britannia Coco-nut Dancers

23/04/2013	John Claridge	Afternoons Well Spent

26/04/2013	Homer Sykes	A Tinker’s Tale

29/04/2013	J A Mortram	Electric Tears and All Their Portent

09/05/2013	Frank Höhne	Believe: Another Essay On God

13/05/2013	John Claridge	The Gorbals

14/05/2013	Phil Maxwell	South Liverpool 1976 - 1982

23/05/2013	John Claridge	Scottish Landscapes

30/05/2013	Tony Hall	East End Pubs & Markets

30/05/2013	Craig Atkinson / In Certain Places	Revisiting Utopia: Modernist Architecture in the Post-regenerate City

05/06/2013	Phil Maxwell	Whitechapel 1983 -1999

10/06/2013	Craig Atkinson	Someone Else’s Skiing Holiday

13/06/2013	John Claridge	The Industrial Past

20/06/2013	Homer Sykes	Stonehenge:1970’s Counterculture

27/06/2013	Craig Atkinson	Alexandra Road Estate 

27/06/2013	Luke Overin	Kings of Grey

11/07/2013	Jeremy Sutton-Hibbert	The Common Riding

18/07/2013	Peter Dench	Suited and Booted 

23/07/2013	Craig Atkinson	Someone Else's Summer in Moritz

25/07/2013	Phil Maxwell	Underground

01/08/2013	Craig Atkinson	London Barbican

15/08/2013	Homer Sykes	Toff’s Hat Flat Cap

19/08/2013	J A Mortram	Living With Epilepsy

22/08/2013	Craig Atkinson	London Circus

22/08/2013	Craig Atkinson	London, Nine Miles from Hounslow

26/08/2013	Homer Sykes	Once a Year: 1970s Folklore in Britain 

29/08/2013	John Darwell	Sheffield Tinsley Viaduct

05/09/2013	Hugh Hood	Glasgow, The River Underground

12/09/2013	Craig Atkinson	Preston Bus Station: Pie and Blow Dry

19/09/2013	Brian David Stevens	Tyburn Hemp

26/09/2013	Craig Atkinson / In Certain Places	Harris Flights

03/10/2013	David J Carol	“Where’s The Monkey?”

07/10/2013	John Darwell	Sheffield Meadowhall, Hyde Park, Ponds Forge

10/10/2013	John Claridge	Vintage London

13/10/2013	Hugh Hood	Glasgow Streets

17/10/2013	John Claridge	Ribble Steam Railway

17/10/2013	Craig Atkinson	Alexandra Road Estate 

23/10/2013	Libby Hall	Leiston, Suffolk 1966

30/10/2013	Craig Atkinson	London, Trellick Tower

20/11/2013	Homer Sykes	Once a Year: Folklore in Britain Now

27/11/2013	Phil Maxwell	Old Ladies of Whitechapel

04/12/2013	Matthew Birchall	Photographs Converted into Morse Code

05/12/2013	Tilney1	Red Neck Land

05/12/2013	Hugh Hood	Glasgow Streets The New Era

08/12/2013	Craig Atkinson	London Barbican

19/12/2013	J A Mortram	Small Town Inertia Diary Entries

09/01/2014	Craig Atkinson	Preston Bus Station Exit Town Centre

30/01/2014	Stephen McCoy	Skelmersdale 1984

06/02/2014	John Darwell	Grangemouth and the Forth Estuary

13/02/2014	Geoff Howard	Rotherhithe Photographs

20/02/2014	Brian David Stevens	Mayday

27/02/2014	Tim Soter	Electronic Music New York City 1995

06/03/2014	Homer Sykes	Saltaire 1981 Still a Model Mill Village

13/03/2014	Craig Atkinson	Preston Bus Station Up and Over

20/03/2014	Joni Sternbach	The Passengers

27/03/2014	David J Carol	“Here’s the Deal…”

03/04/2014	Various Artists and Authors	Index

03/04/2014	Stewart Weir	Brighton Beach

10/04/2014	David Levenson	Annual General Meeting

17/04/2014	Geoff Howard	Recreation and Romance 1970’s London

17/04/2014	Hugh Hood	Glasgow 1974-1978

24/04/2014	George Plemper 	Sunderland and South Shields in the 1980’s

24/04/2014	Tony Bock	Social Landscapes London in the 1970s

01/05/2014	Grant Scott	Crash Happy

08/05/2014	Craig Atkinson	Preston Bus Station Babies, Ladies and Gentlemen

15/05/2014	John Claridge	Israel 1967

22/05/2014	Jonathan Mortimer	Modernist Revival

29/05/2014	Allan Bovill	Glasgow Steamies

05/06/2014	Stephen Clarke	Ocean Beach Rhyl

12/06/2014	Claire Atkinson	Manchester 42 Bus

19/06/2014	Craig Atkinson	Bristol 04.13

26/06/2014	John Darwell	Sheffield Things Seen Whilst Wandering Around Attercliffe

03/07/2014	Craig Atkinson	London Barbican

03/07/2014	Stephen McCoy	Housing Estates 1979–1981

10/07/2014	Tony Bock	Social Landscapes Britain in the 1970s

17/07/2014	Dafydd Jones	Social X-rays New York

24/07/2014	Brian David Stevens	Notting Hill Sound Systems 

31/07/2014	Geoff Howard	North of Barnet

07/08/2014	Jonathan Mortimer	Modernist Revival

07/08/2014	Arthur Tress	Egypt 1963 One

07/08/2014	Arthur Tress	Egypt 1963 Two

14/08/2014	Brian David Stevens	Notting Hill Sound Systems 

14/08/2014	Marc Vallée 	Millbank and That Van

21/08/2014	Geoff Howard	Holy Ireland Croagh Patrick

28/08/2014	Craig Atkinson	Robin Hood Gardens

04/09/2014	Justin Leighton	Barbórka 1993

11/09/2014	Daniel Zvereff	Stanhope

18/09/2014	John Claridge	New York in the 70s

25/09/2014	Craig Atkinson	No foursomes allowed at peak periods, in Scarborough

25/09/2014	Craig Atkinson	London, Trellick Tower

01/10/2014	Craig Atkinson	Alexandra Road Estate 

02/10/2014	George Plemper	Thamesmead and Abbey Wood 1977 - 1982 

09/10/2014	John Darwell	Sheffield The Remains of Some Buildings Around the Don Valley

16/10/2014	David J Carol	“All My Pictures Look the Same”

23/10/2014	John Stoddart	Liverpool Flags and Badges

30/10/2014	Brian David Stevens	Billy Childish

01/11/2014	Craig Atkinson	London Circus

06/11/2014	Justin Leighton	Berlin 09.11.89

10/11/2014	Homer Sykes	MEXICO 1973 Mazatlan and Heading South

13/11/2014	Tony Bock	Social Landscapes East London in the 1970s

27/11/2014	David Walker 	Spectators

01/12/2014	Craig Atkinson	London Barbican

01/12/2014	Craig Atkinson	London, Trellick Tower

01/12/2014	Craig Atkinson	Alexandra Road Estate 

04/12/2014	Stewart Weir	After the Fall Afghanistan 2002

11/12/2014	George Plemper	Thamesmead Riverside School 1976 - 1978 One 

18/12/2014	John Darwell	Sheffield in Transition

08/01/2015	Daniel Meadows	Stockport Gypsies 1971

15/01/2015	Patrick Ward	Manplan One

22/01/2015	Homer Sykes	Biddy Boys Ireland 1972

29/01/2015	Craig Atkinson	Preston Market

12/02/2015	Ken Grant	Shankly One

12/02/2015	George Plemper	Thamesmead Riverside School 1976 - 1978 Two 

19/02/2015	Daniel Meadows	Bancroft Shed Weaving 1976

26/02/2015	Stephen McCoy	“Keep off Sexy Drugs” Southport

05/03/2015	Craig Atkinson	University of Leeds

12/03/2015	Colin Thomas	Wrexham Leisure 1982 - 1984

19/03/2015	Daniel Meadows	Bancroft Shed Engine House 1976

26/03/2015	Peter Dench	Trawlermen 

26/03/2015	Craig Atkinson	Robin Hood Gardens

02/04/2015	Stephen Clarke	Rhyl Seafront

09/04/2015	Derek Hudson	Millennium Britain

16/04/2015	Daniel Meadows	Weldone Boiler Fluers 1976-1977

23/04/2015	Homer Sykes	Made in Roath

23/04/2015	Craig Atkinson	Balfron Tower

30/04/2015	Daniel Meadows	Steeplejack 1976

07/05/2015	Patrick Ward	Manplan Two

14/05/2015	Ken Grant	Shankly Two

21/05/2015	Craig Atkinson	Alexandra Road Estate. Detail

28/05/2015	Daniel Meadows	Pig Killing 1975—1976

04/06/2015	Stephen Clarke	Rhyl Caravan Parks

11/06/2015	Craig Atkinson	Alexandra Road Estate. Park & Plant

18/06/2015	Martin Parr	Chinatown 1984

25/06/2015	Daniel Meadows	Welfare State International 1976—1983

09/07/2015	Ken Grant	One Day in July near Cable Street Southport

16/07/2015	Homer Sykes	Running Riots and the Days After

23/07/2015	Daniel Meadows	Clayton Ward 1978

23/07/2015	Daniel Meadows	Eight Stories box set

30/07/2015	Johny Pitts	The Thames Path

06/08/2015	Matthew Murray	Plesure In Leisure 

13/08/2015	Homer Sykes	My Britain 1970—1980s

20/08/2015	Patrick Ward	The Miners

27/08/2015	Colin McPherson	Sancta Maria Abbey, Nunraw

03/09/2015	Simon Roberts	Boxing Boys Britain 1997–1999

10/09/2015	Brian David Stevens	Haslingfield Scarecrows

17/09/2015	Sophie Gerrard	Tunnock’s

24/09/2015	Stephen McLaren	Dookits

24/09/2015	Document Scotland	Document Scotland 2015 box set

01/10/2015	Stephen McCoy	Personal Space

05/10/2015	Homer Sykes	"My Britain 1970—1980s Second Print"

08/10/2015	Jeremy Sutton-Hibbert	North Sea Fishing

15/10/2015	Homer Sykes	Sloanes and Rahs

22/10/2015	Jeremy Sutton-Hibbert	Nelson Mandela — Glasgow 1993

05/11/2015	Ken Grant	From the Provy to the Derry

12/11/2015	Homer Sykes	The Troubles Northern Ireland

19/11/2015	Jeremy Sutton-Hibbert	Klondykers Shetland 1994

26/11/2015	John Darwell	"The Dark River box set

The Dark River Bolton — Farnworth

The Dark River Kearsley — Clifton

The Dark River Kearsley Power Station

The Dark River Clifton — Death Valley — Agecroft

The Dark River Agecroft — Salford

Reflections on Dark River — Paul Herrmann"

03/12/2015	Patrick Ward	Dirty Dozen

03/12/2015	John Darwell	The Dark River Bolton — Farnworth

03/12/2015	John Darwell	The Dark River Kearsley — Clifton

10/12/2015	Paul Herrmann	Reflections on Dark River

10/12/2015	Stephen McCoy	Archaeology of a Carpet

11/12/2015	Various	Archive One box set

17/12/2015	Tony O’Shea	Christmas Turkey Market, Dublin 1990—1993

07/01/2016	Paul Glazier	Vatersay 1985

14/01/2016	Homer Sykes	Patrick Procktor and Friends

21/01/2016	Tricia Porter	South Liverpool Docks 1985

28/01/2016	Craig Atkinson	The Tetley Archive

28/01/2016	Des Gershon	Balsall Heath Birmingham 1970

04/02/2016	Ian Beesley	Esholt Sewage Works Bradford 1977—78

11/02/2016	David Williams	The Royal Wedding 1981

18/02/2016	David Solomon	M11 Link Road Protest

25/02/2016	Michael Kerstgens	The Miners 1984

01/03/2016	David Leveson	Slightly Unusual

03/03/2016	Craig Atkinson	Point and Stare

03/03/2016	Colin Thomas	Dog Days Ceredigion

10/03/2016	Tricia Porter	Selborne 1980—1982

10/03/2016	Ian Pollock	Lao Tzu Two

17/03/2016	Colin Shaw	Jewellery Quarter

24/03/2016	John Darwell	The Dark River Kearsley Power Station

07/04/2016	Iain McKell	Weymouth '76—'77 The Watchers

14/04/2016	Alejandro Guijarro	Momentum Series

21/04/2016	Jeremy Sutton-Hibbert	Shipbuilding on The River Clyde

28/04/2016	Victor Sloan	Northern Ireland One

28/04/2016	Homer Sykes	Eton a Private Public School

05/05/2016	Ian Beesley	Through the Mill

12/05/2016	John Stoddart	Liverpool: Before the Exodus

19/05/2016	Paddy Summerfield	Weekend Away

26/05/2016	Tricia Porter	Industry Year 1986

26/05/2016	Kottie Paloma	Future Failures

02/06/2016	Colin Shaw	Farm Work

09/06/2016	Martin Parr	Yates's

16/06/2016	Colin Thomas	Birkenhead 1985

23/06/2016	Iain McKell	Weymouth '76—'77 Beach

30/06/2016	John Darwell	"The Dark River

Clifton — Death Valley

 Agecroft"

30/06/2016	Craig Atkinson	Spanish Serviettes

07/07/2016	David Hoffman	East End Dancers and Chancers

14/07/2016	Stuart Franklin	Anti Austerity

21/07/2016	John Claridge	India in the 1970s

28/07/2016	John Deakin	Impossible Accidents

04/08/2016	Victor Sloan	Northern Ireland Two

18/08/2016	Various	Archive Two box set

11/08/2016	Dave Sinclair	YTS School Children’s Strike Liverpool 1985

18/08/2016	John Claridge	Whitechapel Bell Foundry

18/08/2016	Ian Beesley	The Drift

26/08/2016	Daniel Meadows	The Shop on Greame Street 1972

26/08/2016	Thierry Girard	East End ’76 Poplar Hackney

01/09/2016	Colin Thomas	Mersey Passion Play

01/09/2016	Sofia Drescher	Visa Run

08/09/2016	George Rodger	Land Rover 1950s

15/09/2016	Steve Clarke	St Helens

22/09/2016	Patrick Ward	The English at Play

29/09/2016	John Darwell	The Dark River — Agecroft — Salford

06/10/2016	Victor Sloan	Northern Ireland Three

13/10/2016	Dafydd Jones	The Sleepers

20/10/2016	Iain McKell	Weymouth '76—'77 Night

20/10/2016	Iain McKell	Weymouth '76—'77 and Around

27/10/2016	Gilles Rigoulet	"England About and Flat Out ‘78-’83"

03/11/2016	Patrick Ward	Bonfire Societies

17/11/2016	David Titlow	Darts and Minds

17/11/2016	Homer Sykes	"My Britain 1970—1980s Third Print"

24/11/2016	Iain McKell	Weymouth ’76—'77 Men and Women

24/11/2016	Iain McKell	Weymouth ’76—'77 Box Set

01/12/2016	Patrick Ward	The English at Play Again

08/12/2016	Gilles Rigoulet	England Reading ‘78

15/12/2016	Homer Sykes	On the Road Again 1969 & 1971

12/01/2017	Ed Templeton	Lick

19/01/2017	Barry Lewis	Butlins Holiday Camp 1982

26/01/2017	Thierry Girard	East End ’76 — Hackney

26/01/2017	John Bulmer	Hartlepool 1960s

02/02/2017	Roger Tilley	The Valleys in the 1990s 1

09/02/2017	Ricky Adam	Bins Bogs and Burials

23/02/2017	Barry Pitman	The Great Kemp Town Pram Race 1979

09/03/2017	David Hurn	California

23/03/2017	Charlie Phillips	Notting Hill in the 60s

23/03/2017	Charlie Phillips	Notting Hill in the 60s second print

30/03/2017	Simon Roberts	The Gary Friars of Canning Town

06/04/2017	Martin Parr	Abandoned Morris Minors of the West of Ireland

13/04/2017	Barry Lewis	Blackpool 1984–1989

13/04/2017	Barry Lewis	Blackpool 1984–1989 Second Print

20/04/2017	Barry Lewis	Coming and Going London 1977

27/04/2017	Thierry Girard	East End '76 Tower Hamlets

04/05/2017	Mike England	London Charivari 1980–1985

11/05/2017	Gilles Rigoulet	Rituals

11/05/2017	Barry Lewis	Butlins Holiday Camp 1982 Second Print

18/05/2017	Tony O'Shea	Italia 90 Dublin

25/05/2017	Luis Bustamante	Kingston upon Hull 1970s

01/06/2017	John Bulmer	Manchester 1970s

08/06/2017	Ian Beesley	Streetlife Bradford 1970s–1980s

15/06/2017	Tricia Porter	Portraits of People in a Dying Community - Liverpool 1972

22/06/2017	John Walmsley	Sit-in, Guildford School of Art, 1968

22/06/2017	Mike Redmond & Faye Coral Johnson	Frog on Frog

29/06/2017	Homer Sykes	The Grunwick Dispute 1977 “We are the Lions”

06/07/2017	Roger Tilley	The Valleys in the 1990s 2

13/07/2017	Luis Bustamante	Kingston upon Hull 1970s, On Holiday

20/07/2017	David Hurn	Wales 1970s

20/07/2017	David Hurn	Wales 1970s–2010s box set

27/07/2017	Janine Wiedel 	Black Power Black Panthers 1969

27/07/2017	Brian David Stevens	Notting Hill Sound Systems 2

03/08/2017	Tony O’Shea	Border Roads 1990–1994

10/08/2017	Homer Sykes	The Battle of Lewisham 1977

17/08/2017	Teena Taylor	Travellers 1987

17/08/2017	Janine Wiedel 	Black Power Black Panthers 1970

31/08/2017	Geoff Howard	Rotherhithe Photographs

31/08/2017	Geoff Howard & Peter Gazey	Rotherhithe London

07/09/2017	Roger George Clark	Richmond’s Magical Funfairs 1980s

14/09/2017	Michael Kerstgens	Final Winter of the USSR

21/09/2017	Bernard Plossu	Waiting for the Boats

28/09/2017	Ian Beesley	Tetley Brewery Leeds

28/09/2017	David Hurn	Wales 1980s

28/09/2017	John Walmsley	Architectural Association School of Architecture 1975

28/09/2017	Janine Wiedel 	Black Power Black Panthers 1970

28/09/2017	Stephen McCoy	Housing Estates 1979–1981

28/09/2017	Stephen McCoy	Skelmersdale 1984

05/10/2017	Wally Cassidy	Smithfield Horse Fair Dublin 90-93

12/10/2017	Janine Wiedel 	Smiths’ Drop Forge Birmingham 1977

19/10/2017	John Myers	The End of Manufacturing

26/10/2017	Tony O’Shea	“Never Forget”

26/10/2017	John Kippin	The Forest Kielder Northumberland

02/11/2017	Homer Sykes	"My Britain 1970—1980s Fourth Print"

02/11/2017	Homer Sykes	Biddy Boys Ireland 1972

02/11/2017	Chris Killip	Askam-in-Furness 1982

09/11/2017	John Walmsley	Summerhill School 1968

16/11/2017	David Hurn	Wales 1990s

23/11/2017	Wally Cassidy	Dublin Punks

30/11/2017	Jo Spence	Gypsies and Travellers 1970s Homelife

30/11/2017	Jo Spence	Gypsies and Travellers 1970s Box set

30/11/2017	Jo Spence	Gypsies and Travellers 1970s TEXT

07/12/2017	Ian Beesley	Castle Market Sheffield

07/12/2017	Homer Sykes	Puppy Farming in Wales in the 1980s

14/12/2017	David Hurn	Wales 2000s

21/12/2017	Dafydd Jones	The Sleepers

21/12/2017	Janine Wiedel 	Iron and Steel West Midlands 1978

21/12/2017	Janine Wiedel 	Black Power Black Panthers 1970

21/12/2017	Phil Winnard	Marching Down Pit Road 1984

11/01/2018	Jo Spence	Gypsies and Travellers 1970s Men

18/01/2018	David Hurn	Wales 2010s

25/01/2018	Phil Maxwell	Cheshire Street East London 1982–2005

25/01/2018	Neil Martinson	Hackney 1970s–1980s

01/02/2018	Daniel Meadows	Testimony February 1987

08/02/2018	Steve Clarke	Newport Snow 1985 

15/02/2018	Brian Griffin	England 1970s

15/02/2018	Brian Griffin	England 1970s

22/02/2018	Paddy Summerfield	Distant Times

22/02/2018	Tony O’Shea	“Never Forget”

22/02/2018	Luis Bustamante	Kingston upon Hull 1970s

22/02/2018	Luis Bustamante	Kingston upon Hull 1970s, On Holiday

28/02/2018	John Walmsley	Grosvenor Square Vietnam War Demo 17.03.68

28/02/2018	David Levenson	The Burry Man

08/03/2018	Tricia Porter	Some Kids in Liverpool 8 1974

15/03/2018	Tony O'Shea	“Ways of the Cross”

22/03/2018	Janine Wiedel 	Coal Mining West Midlands 1978

22/03/2018	Jean-luc Olezak	England South 1985–1992

22/03/2018	Victor Sloan	Northern Ireland One

22/03/2018	Victor Sloan	Northern Ireland Three

22/03/2018	Victor Sloan	Northern Ireland Two

22/03/2018	David Levenson	British Rituals

22/03/2018	David Levenson	Britannia Coco-nut Dancers

29/03/2018	Daniel Meadows	Grafitti 1971–1983

05/04/2018	Homer Sykes	Chiswick Women’s Aid The Palm Court Hotel Richmond 1975

12/04/2018	Tish Murtha	Newport Tip 1978

12/04/2018	Tish Murtha	Newport Doc Photo Class of ‘78

12/04/2018	Tish Murtha	Newport Doc Photo Class of ’78 BOX SET

19/04/2018	Bill Jay	British Photographers Photographed

19/04/2018	Martin Parr 	Prestwich Mental Hospital 1972

26/04/2018	Chris Killip	Isle of Man TT Races 1971

22/06/2017	John Walmsley	Sit-in, Guildford School of Art, 1968

03/05/2018	Neil Martinson	Once Every 28 Years Hackney Hasidim Welcome the Sun 1981

10/05/2018	Paul Trevor	Street Level

17/05/2018	Brian Griffin	Moscow 1974

24/05/2018	Steve McCoy	Plight of the Trolley 1990

24/05/2018	David Hurn	Wales Steel & Coal

31/05/2018	Jo Spence	Gypsies and Travellers 1970s Childhood

07/06/2018	Chris Killip	Isle of Man TT Races 1971

07/06/2018	Tish Murtha	Queen’s Silver Jubilee Newport 1977

14/06/2018	Rose Comiskey 	Reagan Protest Dublin 1984

14/06/2018	Ron McCormick	Whitechapel 1970s Part One

21/06/2018	John Benton Harris	The English

28/06/2018	Janine Wiedel 	Chainmaking The Black Country, West Midlands 1977

28/06/2018	John Claridge	New York in the 70s

28/06/2018	John Claridge	Coal Miners 1971

28/06/2018	John Claridge	Whitechapel Bell Foundry

28/06/2018	John Claridge	Peopled Streets

28/06/2018	John Claridge	The Gorbals

28/06/2018	John Claridge	The Industrial Past

28/06/2018	John Claridge	East End Graphics

28/06/2018	John Claridge	Another Time Another Place

28/06/2018	John Claridge	Along The Thames

28/06/2018	John Claridge	The Salvation Army

28/06/2018	John Claridge	Monoliths, Sculptures, Fun and Death

28/06/2018	Tony O’Shea	Italia 90 Dublin

28/06/2018	Tony O’Shea	Border Roads

28/06/2018	David Hurn	Wales 1970s

28/06/2018	David Hurn	Wales 1980s

28/06/2018	David Hurn	Wales 1990s

28/06/2018	David Hurn	Wales 2000s

28/06/2018	David Hurn	Wales 2010s

28/06/2018	David Hurn	California

28/06/2018	David Hurn	Wales 1970s–2010s box set

28/06/2018	David Hurn	Wales Steel & Coal

05/07/2018	Ian MacDonald	Greatham Creek

05/07/2018	Diane Bush	The Brits England in the 1970s

12/07/2018	Tony O’Shea	Stories From Ireland 1980–2000 box set

19/07/2018	Ron McCormick	Whitechapel 1970s Part Two

19/07/2018	Ian Walker	A Royal Wedding in Newport

26/07/2018	Steve McCoy	Housing Estates Set 4. 1985

26/07/2018	Sefton Samuels	Jazz Legends

09/08/2018	Janine Wiedel 	Industry, West Midlands 1977–1979

09/08/2018	Janine Wiedel 	Industries The West Midlands 1977–1979

16/08/2018	Peter Marshall	Notting Hill Carnival in the 1990s

16/08/2018	Tish Murtha	Army Snow Clearance Bridgend 1978

23/08/2018	Paul Trevor	India Road

23/08/2018	Paul Baldesare	Down the Tube (Travellers on the London Underground) 1987-1900

30/08/2018	Barry Lewis	Soho 1990

30/08/2018	Wally Cassidy	Féile The Trip to Tip

30/06/2016	Craig Atkinson	Spanish Serviettes

06/09/2018	Shirley Baker	British Seaside 1960–1970

06/09/2018	Shirley Baker	Manchester and Salford Children in the 1960s

06/09/2018	Shirley Baker	Manchester and Salford Children in the 1960s

13/09/2018	Shirley Baker	Manchester and Salford on Holiday in the 1960s

13/09/2018	Shirley Baker	Manchester and Salford on Holiday in the 1960s

13/09/2018	Shirley Baker	Punks 1980s

20/09/2018	Bob Watkins	The English Way English Carnival Pictures 1992–2008

27/09/2018	Homer Sykes	Broken Dolls Kilburn 1967

04/10/2018	Peter Jones	Wales

11/10/2018	John Walmsley	Wester Hailes 1979

18/10/2018	Mark Pinder	Easington 1987–1993

18/10/2018	Bob Watkins	Stauesque

25/10/2018	Wally Cassidy	Dublin City 1989-93

25/10/2018	Ron McCormick	Triumph Workers Lock-In  1974

01/11/2018	Janine Wiedel 	The Potteries Stoke-on-Trent 1978

08/11/2018	Peter Marshall	 The River Hull 1977–1985

15/11/2018	Diane Bush	The Brits 2

22/11/2018	Paul Baldesare	Victoria Coach Station 1991-1993

29/11/2018	Bob Watkins	London Lives

13/12/2018	Paul Trevor	Sleeper

10/12/2018	Tony O’Shea	Christmas Turkey Market, Dublin 1990—1993

13/12/2018	Dragan Novaković	Burnley 1970s

13/12/2018	Steve McCoy	Christmas Cribs

13/12/2018	Dragan Novaković	Huddersfield & Halifax 1960s–70s

10/01/2019	Janine Wiedel 	Jewellery Quarter Birmingham 1977

17/01/2019	Steve Clarke	Mailboxes San Diego 1986–1987

17/01/2019	Jeremy Sutton-Hibbert 	Longannet Colliery 2001

24/01/2019	Tony O’Shea	South Kerry Regattas

24/01/2019	Ian Beesley	Football Fans

31/01/2019	Dragan Novaković	Manchester & Oldham 1970s

31/01/2019	Ken Grant	Shankly One

31/01/2019	Ken Grant	Shankly Two

31/01/2019	Ken Grant	From the Provy to the Derry

31/01/2019	Ken Grant	One Day in July near Cable Street Southport

07/02/2019	Peter Marshall	Peter Marshall — The Streets of Hull 1979–85

14/02/2019	Rose Comiskey 	Travellers’ Rights March Dublin 1985

21/02/2019	Dafydd Jones	Sensation

28/02/2019	Homer Sykes	Darby and Joan Blind Dance Class London 197

28/02/2019	Homer Sykes	Druids 1996 London, Wiltshire, Oxfordshire

28/02/2019	Hugh Hood	Glasgow Streets

28/02/2019	Hugh Hood	Glasgow Streets The New Era

28/02/2019	Hugh Hood	Glasgow, The River Underground

07/03/2019	Chris Steele-Perkins	Wolverhampton 1978

07/03/2019	Steve McCoy	Housing Estates Box Set

14/03/2019	Chris Killip	Huddersfield 1974

14/03/2019	John Benton Harris	St Patrick’s People

21/03/2019	Steve McCoy	Demolition Sites 1981–1986 Liverpool & Preston

